web-scraper-order,web-scraper-start-url,professors,professors-href
"1740065742-32","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/115323/guia_docent","Morales Hidalgo,  Juan Ignacio","http://www.urv.cat/html/docencia-per-centre/general-I70095.php"
"1740065742-33","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/115323/guia_docent","Vergès Bosch,  Josep Maria","http://www.urv.cat/html/docencia-per-centre/general-I7415.php"
"1740065757-34","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/114028/guia_docent","Lozano Pérez,  Sergio","http://www.urv.cat/html/docencia-per-centre/general-I8944.php"
"1740065764-35","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/114915/guia_docent","Rosell Ardévol,  Jordi","http://www.urv.cat/html/docencia-per-centre/general-I2402.php"
"1740065814-36","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/113732/guia_docent","Pujol Baiges,  Maria Cinta","http://www.urv.cat/html/docencia-per-centre/general-I11778.php"
"1740065841-37","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/112513/guia_docent","Ollé Cañellas,  Andreu","http://www.urv.cat/html/docencia-per-centre/general-I7414.php"
"1740065841-38","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/112513/guia_docent","Vergès Bosch,  Josep Maria","http://www.urv.cat/html/docencia-per-centre/general-I7415.php"
"1740065852-39","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116597/guia_docent","Chacón Navarro,  María Gema","http://www.urv.cat/html/docencia-per-centre/general-I39832.php"
"1740065852-40","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116597/guia_docent","Huguet Pàmies,  Rosa","http://www.urv.cat/html/docencia-per-centre/general-I30004.php"
"1740065852-41","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116597/guia_docent","Lozano Ruiz,  Marina","http://www.urv.cat/html/docencia-per-centre/general-I10015.php"
"1740065852-42","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116597/guia_docent","López García,  Juan Manuel","http://www.urv.cat/html/docencia-per-centre/general-I13824.php"
"1740065852-43","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116597/guia_docent","Mosquera Martínez,  Marina","http://www.urv.cat/html/docencia-per-centre/general-I592.php"
"1740065852-44","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116597/guia_docent","Rodríguez Álvarez,  José Pedro","http://www.urv.cat/html/docencia-per-centre/general-I2289.php"
"1740065852-45","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116597/guia_docent","Sala Ramos,  Robert","http://www.urv.cat/html/docencia-per-centre/general-I1915.php"
"1740065852-46","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116597/guia_docent","Tornero Dacasa,  Carlos","http://www.urv.cat/html/docencia-per-centre/general-I65169.php"
"1740065852-47","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116597/guia_docent","Vaquero Rodríguez,  Manuel","http://www.urv.cat/html/docencia-per-centre/general-I2296.php"
"1740065876-48","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/114912/guia_docent","Carbonell Roura,  Eudald","http://www.urv.cat/html/docencia-per-centre/general-I568.php"
"1740065889-49","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116754/guia_docent","Rosell Ardévol,  Jordi","http://www.urv.cat/html/docencia-per-centre/general-I2402.php"
"1740065938-50","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116869/guia_docent","Pujol Baiges,  Maria Cinta","http://www.urv.cat/html/docencia-per-centre/general-I11778.php"
"1740065969-51","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116814/guia_docent","Ollé Cañellas,  Andreu","http://www.urv.cat/html/docencia-per-centre/general-I7414.php"
"1740065969-52","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116814/guia_docent","Vergès Bosch,  Josep Maria","http://www.urv.cat/html/docencia-per-centre/general-I7415.php"
"1740066000-53","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116812/guia_docent","Carbonell Roura,  Eudald","http://www.urv.cat/html/docencia-per-centre/general-I568.php"
"1740066030-54","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116748/guia_docent","Morales Hidalgo,  Juan Ignacio","http://www.urv.cat/html/docencia-per-centre/general-I70095.php"
"1740066030-55","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116748/guia_docent","Vergès Bosch,  Josep Maria","http://www.urv.cat/html/docencia-per-centre/general-I7415.php"
"1740066041-56","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116870/guia_docent","Lozano Pérez,  Sergio","http://www.urv.cat/html/docencia-per-centre/general-I8944.php"
"1740066047-57","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3550/assignatures/117266/guia_docent","Abellán Hernández,  Elisa","http://www.urv.cat/html/docencia-per-centre/general-I9010.php"
"1740066100-58","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3550/assignatures/116873/guia_docent","Maldonado Fernández,  Maria Teresa","http://www.urv.cat/html/docencia-per-centre/general-I114274.php"
"1740066112-59","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3550/assignatures/116872/guia_docent","Barrera ,  Marcelo Silvio","http://www.urv.cat/html/docencia-per-centre/general-I85480.php"
"1740066130-60","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3550/assignatures/116890/guia_docent","Gheondea-Eladi ,  Alexandra","http://www.urv.cat/html/docencia-per-centre/general-I81111.php"
"1740066142-61","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3550/assignatures/116777/guia_docent","Cardenas Morell,  Neus","http://www.urv.cat/html/docencia-per-centre/general-I12277.php"
"1740066142-62","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3550/assignatures/116777/guia_docent","García Moreno,  Cristina","http://www.urv.cat/html/docencia-per-centre/general-I9472.php"
"1740066148-63","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3550/assignatures/116744/guia_docent","Arca Míguez,  Juan Manuel","http://www.urv.cat/html/docencia-per-centre/general-I76469.php"
"1740066154-64","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3550/assignatures/116759/guia_docent","Offenhenden ,  Maria","http://www.urv.cat/html/docencia-per-centre/general-I37417.php"
"1740066154-65","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3550/assignatures/116759/guia_docent","Pérez Hernández,  Ervin Francisco Eugenio","http://www.urv.cat/html/docencia-per-centre/general-I105153.php"
"1740066160-66","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/117123/guia_docent","Adan Domenech,  Federico","http://www.urv.cat/html/docencia-per-centre/general-I7055.php"
"1740066160-67","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/117123/guia_docent","Esteve Izquierdo,  Judit","http://www.urv.cat/html/docencia-per-centre/general-I21946.php"
"1740066160-68","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/117123/guia_docent","Garayalde Martin,  Elena","http://www.urv.cat/html/docencia-per-centre/general-I48408.php"
"1740066160-69","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/117123/guia_docent","Jiménez González,  José Antonio","http://www.urv.cat/html/docencia-per-centre/general-I71192.php"
"1740066160-70","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/117123/guia_docent","Morell Calvo,  Miriam","http://www.urv.cat/html/docencia-per-centre/general-I23204.php"
"1740066160-71","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/117123/guia_docent","Ortiz Castellón,  Josep Eduard","http://www.urv.cat/html/docencia-per-centre/general-I31564.php"
"1740066160-72","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/117123/guia_docent","Pla Bel,  Rosa Maria","http://www.urv.cat/html/docencia-per-centre/general-I75930.php"
"1740066160-73","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/117123/guia_docent","Ribas Moreno,  Gloria","http://www.urv.cat/html/docencia-per-centre/general-I7209.php"
"1740066177-74","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/113043/guia_docent","Escoda Royo,  Francisco Javier","http://www.urv.cat/html/docencia-per-centre/general-I72973.php"
"1740066177-75","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/113043/guia_docent","Ferrer Ferré,  Carles","http://www.urv.cat/html/docencia-per-centre/general-I72976.php"
"1740066177-76","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/113043/guia_docent","García Parla,  María","http://www.urv.cat/html/docencia-per-centre/general-I72809.php"
"1740066177-77","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/113043/guia_docent","Grau Ferrer,  Oscar","http://www.urv.cat/html/docencia-per-centre/general-I111021.php"
"1740066177-78","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/113043/guia_docent","Macías Perianes,  Aitor","http://www.urv.cat/html/docencia-per-centre/general-I72975.php"
"1740066177-79","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/113043/guia_docent","Olive Elias,  Maria","http://www.urv.cat/html/docencia-per-centre/general-I12665.php"
