words	
Activitat	
Creativitat:	
Domi	
Veure	
Valorar	
Valora	
Validar	
Utilizar	
Utilitzar	
Usar	
Us	
Treballar	
Tra	
Trabajar	
Time	
Te	
Temps	
Sessio	
Ser	
Seleccio	
Seguir	
Saber	
S'i	
S'ate	
Respectar	
Resoldre	
Relacio	
Reflexio	
Redactar	
Reco	
Recollir	
Realizar	
RA1.Produir	
Programar	
Produir	
Preveure	
Prese	
Preparar	
Pre	
Pràctiques	
Practicar	
Pote	
Posar	
Pla	
PERFIL	
Percepció	
Percebre	
Orie	
Orga	
Orde	
Oferir	
Obtie	
Obte	
Observar	
Objectius	
Motivar	
Mostrar	
Marcar	
Liderar	
Les	
lear	
La	
L'estudia	
L’estudia	
L'ate	
Jordi	
I	
Importar	
Ide	
Hacer	
Gestio	
Gara	
Formular	
Formula	
Fome	
Fer	
Familiaritzar	
Facilitar	
Extreure	
Expresarse	
Explorar	
Explicar	
Estudiar	
Estructurar	
Escollir	
Es	
E	
Els	
Elaborar	
Elabora	
El	
Ejecutar	
Efectuar	
DRET	
Dr.	
Do	
Disti	
Disse	
Diseñar,	
Difo	
Difere	
Determi	
Després	
Desevolupar	
Dese	
Descriure	
Descripció	
Describir	
Desarrollar	
Desarrolla	
Demostrar	
Defi	
Defe	
Crear	
Co	
Cò	
Comu	
Comprometre’s	
Compre	
Comprè	
Classificar	
Cercar	
Calcular	
Buscar,	
Buscar	
Avaluar	
Ate	
Asse	
Argume	
Aquesta	
Aproximar	
Apropar	
Aprofu	
Apre	
Aplicar,	
Aplicar	
Aplicació	
Aplica	
A	
Ampliar	
Afavorir	
Adquirir	
Adquierixi	
Adoptar	
Actuar	
Acceptar	
7	
6	
4.Co	
3.Explorar	
2.Dese	
2.3.Adquirir	
1.Aplicar	
•	Co
WAVES	
V	DESEQUILIBRIS
U	
UML	
Treball	
Tema	
TEMA	
Taules	
Sistema	
Si	
Requisits	
Recoma	
Recerca	
Prova	
Professio	
Persistè	
O	
Memoria20%20%	
Mecha	
Meca	
Mecà	
LLIÇÓ	
Lliçó	
Llicó	
Lle	
IV	L’EQUILIBRI
I	INTRODUCCIÓ
II	L’OFERTA
III	LA
I.	INTRODUCCIÓ
Grafs	
Gestió	
Frameworks	
Estructures	
Esta	
Electromag	
ELECTROMAGNETISM	
D'acord	
Capítol	
Cada	
Assig	
Aspectes	
Arquitectura	
Arbres	
Accés	
9	
8	
7.	
6.El	
5	
4	
3.	Co
3	
2	
1.	Co
1	
