web-scraper-order,web-scraper-start-url,iframes
"1739481748-23,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112829/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234125&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481751-24,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112828/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234124&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481753-25,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116013/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234121&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481756-26,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112826/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234120&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481758-27,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116384/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234119&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481761-28,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113889/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234118&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481763-29,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112809/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234117&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481765-30,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/115106/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234116&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481768-31,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112827/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234123&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481770-32,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/114312/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234010&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481773-33,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/115108/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234109&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481775-34,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112643/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234113&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481778-35,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116389/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234112&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481780-36,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116014/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234111&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481783-37,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/114313/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234110&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481785-38,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112644/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234114&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481788-39,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112642/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234108&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481790-40,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116387/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234009&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481793-41,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/115107/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234008&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481795-42,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113434/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234007&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481798-43,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116388/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234107&any_academic=2024_25&idioma=cat&modalitat=p"""
