web-scraper-order,web-scraper-start-url,coordinators,coordinators-href
"1740065347-32","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","Royo Bieto,  Carles","http://www.urv.cat/html/docencia-per-centre/general-I60269.php"
"1740065353-33","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","Pelaez Torroba,  Maria Carmen","http://www.urv.cat/html/docencia-per-centre/general-I27205.php"
"1740065359-34","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117003/guia_docent","Arbones Guinovart,  Nuria","http://www.urv.cat/html/docencia-per-centre/general-I98474.php"
"1740065359-35","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117003/guia_docent","Russo Musso,  María Valeria","http://www.urv.cat/html/docencia-per-centre/general-I75932.php"
"1740065365-36","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117029/guia_docent","Fonoll Tassier,  Anna","http://www.urv.cat/html/docencia-per-centre/general-I39150.php"
"1740065365-37","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117029/guia_docent","Mauri Estupiñà,  David","http://www.urv.cat/html/docencia-per-centre/general-I13561.php"
"1740065372-38","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117012/guia_docent","Kovacsics Grisolia,  Violeta","http://www.urv.cat/html/docencia-per-centre/general-I102625.php"
"1740065372-39","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117012/guia_docent","Sabaté Barrieras,  Neus","http://www.urv.cat/html/docencia-per-centre/general-I64969.php"
"1740065384-40","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117011/guia_docent","Moreno Julià,  Xavier","http://www.urv.cat/html/docencia-per-centre/general-I16739.php"
"1740065391-41","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117004/guia_docent","Pérez-Portabella López,  Antonio","http://www.urv.cat/html/docencia-per-centre/general-I7338.php"
"1740065397-42","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117010/guia_docent","Böcker ,  Rafael","http://www.urv.cat/html/docencia-per-centre/general-I10137.php"
"1740065403-43","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117283/guia_docent","Gonzalo Iglesia,  Juan Luís","http://www.urv.cat/html/docencia-per-centre/general-I13417.php"
"1740065403-44","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117283/guia_docent","Prades Tena,  Jordi","http://www.urv.cat/html/docencia-per-centre/general-I32424.php"
"1740065409-45","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117013/guia_docent","Grau Masot,  Josep Maria","http://www.urv.cat/html/docencia-per-centre/general-I13518.php"
"1740065416-46","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117014/guia_docent","Royo Bieto,  Carles","http://www.urv.cat/html/docencia-per-centre/general-I60269.php"
"1740065423-47","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117018/guia_docent","Pelaez Torroba,  Maria Carmen","http://www.urv.cat/html/docencia-per-centre/general-I27205.php"
"1740065429-48","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117006/guia_docent","Arbones Guinovart,  Nuria","http://www.urv.cat/html/docencia-per-centre/general-I98474.php"
"1740065429-49","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117006/guia_docent","Russo Musso,  María Valeria","http://www.urv.cat/html/docencia-per-centre/general-I75932.php"
"1740065437-50","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117005/guia_docent","Fonoll Tassier,  Anna","http://www.urv.cat/html/docencia-per-centre/general-I39150.php"
"1740065437-51","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117005/guia_docent","Mauri Estupiñà,  David","http://www.urv.cat/html/docencia-per-centre/general-I13561.php"
"1740065448-52","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117031/guia_docent","Kovacsics Grisolia,  Violeta","http://www.urv.cat/html/docencia-per-centre/general-I102625.php"
"1740065448-53","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117031/guia_docent","Sabaté Barrieras,  Neus","http://www.urv.cat/html/docencia-per-centre/general-I64969.php"
"1740065461-54","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117030/guia_docent","Moreno Julià,  Xavier","http://www.urv.cat/html/docencia-per-centre/general-I16739.php"
"1740065467-55","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117019/guia_docent","Pérez-Portabella López,  Antonio","http://www.urv.cat/html/docencia-per-centre/general-I7338.php"
"1740065473-56","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117027/guia_docent","Böcker ,  Rafael","http://www.urv.cat/html/docencia-per-centre/general-I10137.php"
"1740065479-57","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117281/guia_docent","Gonzalo Iglesia,  Juan Luís","http://www.urv.cat/html/docencia-per-centre/general-I13417.php"
"1740065479-58","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117281/guia_docent","Prades Tena,  Jordi","http://www.urv.cat/html/docencia-per-centre/general-I32424.php"
"1740065485-59","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117001/guia_docent","Grau Masot,  Josep Maria","http://www.urv.cat/html/docencia-per-centre/general-I13518.php"
"1740065492-60","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117021/guia_docent","Royo Bieto,  Carles","http://www.urv.cat/html/docencia-per-centre/general-I60269.php"
"1740065499-61","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117008/guia_docent","Pelaez Torroba,  Maria Carmen","http://www.urv.cat/html/docencia-per-centre/general-I27205.php"
"1740065506-62","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117002/guia_docent","Arbones Guinovart,  Nuria","http://www.urv.cat/html/docencia-per-centre/general-I98474.php"
"1740065506-63","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117002/guia_docent","Russo Musso,  María Valeria","http://www.urv.cat/html/docencia-per-centre/general-I75932.php"
"1740065512-64","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117024/guia_docent","Fonoll Tassier,  Anna","http://www.urv.cat/html/docencia-per-centre/general-I39150.php"
"1740065512-65","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117024/guia_docent","Mauri Estupiñà,  David","http://www.urv.cat/html/docencia-per-centre/general-I13561.php"
"1740065519-66","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117026/guia_docent","Kovacsics Grisolia,  Violeta","http://www.urv.cat/html/docencia-per-centre/general-I102625.php"
"1740065519-67","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117026/guia_docent","Sabaté Barrieras,  Neus","http://www.urv.cat/html/docencia-per-centre/general-I64969.php"
"1740065529-68","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117025/guia_docent","Moreno Julià,  Xavier","http://www.urv.cat/html/docencia-per-centre/general-I16739.php"
"1740065535-69","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117009/guia_docent","Pérez-Portabella López,  Antonio","http://www.urv.cat/html/docencia-per-centre/general-I7338.php"
"1740065540-70","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3562/assignatures/117028/guia_docent","Böcker ,  Rafael","http://www.urv.cat/html/docencia-per-centre/general-I10137.php"
