web-scraper-order,web-scraper-start-url,professors
"1740086247-30","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204004&any_academic=2024_25&idioma=cat&modalitat=p","SAMPER SOSA, ALBERT"
"1740086247-31","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204004&any_academic=2024_25&idioma=cat&modalitat=p","MORENO GARCÍA, DAVID"
"1740086249-32","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204102&any_academic=2024_25&idioma=cat&modalitat=p","FARRENY MORANCHO, JAUME"
"1740086249-33","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204102&any_academic=2024_25&idioma=cat&modalitat=p","CASALS ROCA, RAQUEL INMACULADA"
"1740086249-34","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204102&any_academic=2024_25&idioma=cat&modalitat=p","PEREZ SANCHEZ, JOAQUIN"
"1740086249-35","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204102&any_academic=2024_25&idioma=cat&modalitat=p","TOLDRA DOMINGO, JOSE MARIA"
"1740086249-36","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204102&any_academic=2024_25&idioma=cat&modalitat=p","CUARTERO BETRIU, GERARD"
"1740086249-37","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204102&any_academic=2024_25&idioma=cat&modalitat=p","FERRÉ PUEYO, GEMMA"
"1740086252-38","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204009&any_academic=2024_25&idioma=cat&modalitat=p","HERRERA GÓMEZ, BLAS"
"1740086254-39","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204111&any_academic=2024_25&idioma=cat&modalitat=p","FITE FONT, RAMON ANTONIO"
"1740086254-40","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204111&any_academic=2024_25&idioma=cat&modalitat=p","MARTI ROVIRA, ORLAND"
"1740086256-41","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204008&any_academic=2024_25&idioma=cat&modalitat=p","SOLÉ CARTAÑÀ, ROSA MARIA"
"1740086256-42","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204008&any_academic=2024_25&idioma=cat&modalitat=p","MATEOS FERRÉ, XAVIER"
"1740086256-43","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204008&any_academic=2024_25&idioma=cat&modalitat=p","SERRES SERRES, JOSEP MARIA"
"1740086256-44","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204008&any_academic=2024_25&idioma=cat&modalitat=p","LLAMAS MARTINEZ, VICTOR"
"1740086259-45","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204103&any_academic=2024_25&idioma=cat&modalitat=p","FREDIANI SARFATI, ARTURO"
"1740086259-46","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204103&any_academic=2024_25&idioma=cat&modalitat=p","LORENZO ALMEIDA, DANIEL"
"1740086259-47","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204103&any_academic=2024_25&idioma=cat&modalitat=p","SOLÉ GRAS, JOSEP MARIA"
"1740086259-48","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204103&any_academic=2024_25&idioma=cat&modalitat=p","ALCAINA POZO, LARA"
"1740086259-49","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204103&any_academic=2024_25&idioma=cat&modalitat=p","TIÑENA GUIAMET, FERRAN"
"1740086259-50","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204103&any_academic=2024_25&idioma=cat&modalitat=p","MUÑOZ ESTEBAN, DANIEL"
"1740086259-51","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204103&any_academic=2024_25&idioma=cat&modalitat=p","BUSCEMI , AGATA"
"1740086259-52","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204103&any_academic=2024_25&idioma=cat&modalitat=p","GONZÁLEZ PORQUERES, SÍLVIA"
"1740086259-53","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204103&any_academic=2024_25&idioma=cat&modalitat=p","SOLANS IBÁÑEZ, INDÍBIL"
"1740086259-54","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204103&any_academic=2024_25&idioma=cat&modalitat=p","JANSA FENOLLOSA, AMALIA"
"1740086261-55","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204118&any_academic=2024_25&idioma=cat&modalitat=p","SALA MATEUS, MIGUEL ANGEL"
"1740086261-56","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204118&any_academic=2024_25&idioma=cat&modalitat=p","CESTERO GEA, JORDI"
"1740086261-57","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204118&any_academic=2024_25&idioma=cat&modalitat=p","HUMBERT FARRARONS, GEMMA"
"1740086263-58","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204112&any_academic=2024_25&idioma=cat&modalitat=p","FITE FONT, RAMON ANTONIO"
"1740086263-59","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204112&any_academic=2024_25&idioma=cat&modalitat=p","MARTI ROVIRA, ORLAND"
"1740086265-60","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204126&any_academic=2024_25&idioma=cat&modalitat=p","BEA CASTAÑO, DAVID"
"1740086268-61","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204122&any_academic=2024_25&idioma=cat&modalitat=p","NAVARRO ROMERO, CELIA"
"1740086270-62","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204005&any_academic=2024_25&idioma=cat&modalitat=p","SAMPER SOSA, ALBERT"
"1740086270-63","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204005&any_academic=2024_25&idioma=cat&modalitat=p","ANDREU AGUADÉ, JOSUÉ"
"1740086270-64","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204005&any_academic=2024_25&idioma=cat&modalitat=p","MORENO GARCÍA, DAVID"
"1740086272-65","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204104&any_academic=2024_25&idioma=cat&modalitat=p","FREDIANI SARFATI, ARTURO"
"1740086272-66","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204104&any_academic=2024_25&idioma=cat&modalitat=p","LORENZO ALMEIDA, DANIEL"
"1740086272-67","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204104&any_academic=2024_25&idioma=cat&modalitat=p","SOLÉ GRAS, JOSEP MARIA"
"1740086272-68","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204104&any_academic=2024_25&idioma=cat&modalitat=p","ALCAINA POZO, LARA"
"1740086272-69","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204104&any_academic=2024_25&idioma=cat&modalitat=p","TIÑENA GUIAMET, FERRAN"
