web-scraper-order,web-scraper-start-url,coordinators
"1740076203-28","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204116&any_academic=2024_25&idioma=cat&modalitat=p","ROSET PIÑOL, JOAQUIM ENRICMARIN SELLARES, LAIA"
"1740076206-29","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204127&any_academic=2024_25&idioma=cat&modalitat=p","GUERRERO FERNANDEZ, JORGE"
"1740076208-30","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204106&any_academic=2024_25&idioma=cat&modalitat=p","GRAU VALLDOSERA, FERRANDE RIVERA MARINEL·LO, INÉSROEL HERRANZ, PABLO"
"1740076210-31","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204132&any_academic=2024_25&idioma=cat&modalitat=p","SOCÍAS JULBE, PERE"
"1740076213-32","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204131&any_academic=2024_25&idioma=cat&modalitat=p","MIRALLES JORI, ROGER"
"1740076215-33","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204115&any_academic=2024_25&idioma=cat&modalitat=p","SOCÍAS JULBE, PERE"
"1740076217-34","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204121&any_academic=2024_25&idioma=cat&modalitat=p","MARTIN SAIZ, RODRIGO"
"1740076219-35","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204107&any_academic=2024_25&idioma=cat&modalitat=p","GENÍS VIÑALS, MARIONAGARCÍA HERNANDEZ, PEDROSOLÉ GRAS, JOSEP MARIA"
"1740076222-36","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204130&any_academic=2024_25&idioma=cat&modalitat=p","RODENAS GARCÍA, JUAN FERNANDO"
"1740076224-37","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204133&any_academic=2024_25&idioma=cat&modalitat=p","QUERAL LLABERIA, JORDIGENÍS VIÑALS, MARIONA"
"1740076227-38","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204124&any_academic=2024_25&idioma=cat&modalitat=p","MALLAFRÈ BALSELLS, CÈLIACASANOVA PALLEJÀ, FRANCESC XAVIER"
"1740076229-39","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204108&any_academic=2024_25&idioma=cat&modalitat=p","GENÍS VIÑALS, MARIONAGARCÍA HERNANDEZ, PEDROROSÀS TOSAS, ELISENDASOLÉ GRAS, JOSEP MARIA"
"1740076231-40","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204134&any_academic=2024_25&idioma=cat&modalitat=p","CIVIT MARTÍNEZ, ALFONS"
"1740076233-41","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204125&any_academic=2024_25&idioma=cat&modalitat=p","CASANOVA PALLEJÀ, FRANCESC XAVIER"
"1740076237-42","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204117&any_academic=2024_25&idioma=cat&modalitat=p","COSTA JOVER, AGUSTI"
"1740076239-43","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204109&any_academic=2024_25&idioma=cat&modalitat=p","GIRONES SADERRA, ANTONIO"
