web-scraper-order,web-scraper-start-url,iframes
"1739379023-23","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112829/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234125&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379025-24","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112828/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234124&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379028-25","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116013/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234121&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379030-26","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112826/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234120&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379033-27","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116384/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234119&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379035-28","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113889/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234118&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379038-29","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112809/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234117&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379040-30","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/115106/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234116&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379043-31","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112827/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234123&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379045-32","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/114312/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234010&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379048-33","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/115108/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234109&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379050-34","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112643/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234113&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379052-35","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116389/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234112&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379055-36","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116014/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234111&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379057-37","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/114313/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234110&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379060-38","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112644/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234114&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379063-39","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112642/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234108&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379066-40","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116387/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234009&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379068-41","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/115107/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234008&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379071-42","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113434/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234007&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379073-43","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116388/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234107&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379075-44","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113435/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234005&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379078-45","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112641/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234006&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379080-46","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113437/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234106&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379083-47","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112640/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234004&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379085-48","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112639/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234105&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379088-49","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113436/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234104&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379092-50","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112830/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234003&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379095-51","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/114311/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234002&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379098-52","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113438/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234135&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379100-53","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116386/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234102&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379103-54","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113433/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234001&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379105-55","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113891/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234134&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379108-56","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/115109/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234101&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379111-57","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117802/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224230&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379113-58","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117684/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224226&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379116-59","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/114262/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224212&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379118-60","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/115962/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224211&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379121-61","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113842/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224219&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379124-62","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117681/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224223&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379126-63","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117682/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224222&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379129-64","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117685/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224227&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379131-65","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113428/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224229&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379134-66","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112801/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224218&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379136-67","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117683/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224221&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379139-68","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/115101/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224204&any_academic=2024_25&idioma=eng&modalitat=p"
